,Timestamp,"When you move outside your hall, with how many people do you usually move together?",How many different friend circles do you have?,"During weekdays, apart from class hours, 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗱𝗮𝘆𝘀 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸 do you usually step out from your hall?","During weekdays, apart from class hours, roughly for 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗵𝗼𝘂𝗿𝘀 do you stay outside your hall 𝗶𝗻 𝗮 𝗱𝗮𝘆?","During 𝘄𝗲𝗲𝗸𝗱𝗮𝘆𝘀, what are your frequent places of visit?","During weekdays, apart from class hours, how many 𝗱𝗶𝗳𝗳𝗲𝗿𝗲𝗻𝘁 𝗽𝗹𝗮𝗰𝗲𝘀 (from the above list) do you usually visit in a 𝘀𝗶𝗻𝗴𝗹𝗲 𝗱𝗮𝘆?",How many times do you usually eat out (Canteen/Restaurants/Eateries) 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸?,What are the eateries that you frequently visit?,Choose the time frames when you usually step out from your hall during 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀,"During 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀, what are your frequent places of visit?",When do you usually return to your room to sleep (if you go out)?,Your academic program,Current Year of study,Hall of Residence,Your department
251,2021/03/08 12:05:47 pm GMT+5:30,3,1,0,1,Gymkhana;Gymkhana Park;Library;Tech Market,1,1,I generally eat in my hall mess,9PM-11PM,Gymkhana Park;2.2;Tech Market;Netaji Auditorium,10pm-11pm,PG,2nd,MMM Hall,AG
252,2021/03/08 12:05:48 pm GMT+5:30,2,2,4,1,Library;Main Building;Tech Market;Outside Campus;A Department,2,5,Your own Hall Canteen;PFC;CCD Mio Amore Area;Tech Market;Peep Kitchen,5PM-7PM,2.2;Main Building;Tech Market;Outside Campus,9pm-10pm,UG,3rd,Nehru Hall,CS
253,2021/03/08 12:05:51 pm GMT+5:30,1,1,1,1,Library;Tech Market;A Department,1,2,Your own Hall Canteen;Tech Market,5PM-7PM,Tech Market;A Department,9pm-10pm,PG,2nd,B C Roy Hall,CY
254,2021/03/08 12:06:01 pm GMT+5:30,3,3,5,4,Main Building;Tech Market;Other Hall of Residence;Nalanda;2.2;A Department,3,7,Your own Hall Canteen;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Heritage;Tech Market;Peep Kitchen;Veggies;Food City;Smart Pind;Subway,11AM-1PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;2.2;Tata Sports Complex;Tech Market,12am-1am,UG,4th,MMM Hall,PH
255,2021/03/08 12:06:18 pm GMT+5:30,2,4,5,2,Gymkhana;Tech Market;Tata Sports Complex;2.2,2,2,PFC;Other Hall Canteens;Outside Campus;Super Duper,9AM-11AM;5PM-7PM,2.2;Outside Campus,12am-1am,PG,2nd,MMM Hall,ME
256,2021/03/08 12:06:21 pm GMT+5:30,1,3,2,2,Gymkhana;Tech Market,1,5,Your own Hall Canteen;I generally eat in my hall mess,5PM-7PM,Other Halls of Residence;Gymkhana;2.2,11pm-12am,UG,5th,Nehru Hall,BT
257,2021/03/08 12:06:26 pm GMT+5:30,4,3,1,3,Tech Market;2.2,1,0,I generally eat in my hall mess,5PM-7PM,2.2;Library,11pm-12am,PG,2nd,LBS Hall,PH
258,2021/03/08 12:06:29 pm GMT+5:30,2,5,4,7,Library;Main Building;Vikramshila;2.2,2,10,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Veggies;Tikka;Smart Pind;Subway,7PM-9PM;9PM-11PM,Other Halls of Residence;Main Building;Vikramshila;Outside Campus,12am-1am,UG,2nd,Patel Hall,MI
259,2021/03/08 12:06:32 pm GMT+5:30,5,1,2,2,Library;Main Building;Tech Market;Nalanda;2.2;A Department,0,4,Your own Hall Canteen;PFC;Tech Market;Peep Kitchen;Smart Pind,7PM-9PM;9PM-11PM,Library;Main Building;Tech Market,12am-1am,UG,5th,Patel Hall,MF
260,2021/03/08 12:06:32 pm GMT+5:30,2,5,0,0,Nalanda;2.2;A Department,1,10,Your own Hall Canteen;PFC;Outside Campus;CCD Mio Amore Area;Heritage;Peep Kitchen;Smart Pind;Subway,Never,I don't go anywhere,I usually stay in my room,UG,4th,LBS Hall,AE
261,2021/03/08 12:06:44 pm GMT+5:30,1,2,1,3,Tech Market;Other Hall of Residence,1,3,Other Hall Canteens;Smart Pind;Other,11AM-1PM;5PM-7PM,Other Halls of Residence;2.2;Tech Market,11pm-12am,UG,3rd,JCB Hall,CS
263,2021/03/08 12:06:55 pm GMT+5:30,3,2,5,8,Gymkhana Park;Library;Main Building;Tech Market;2.2;A Department,4,4,Your own Hall Canteen;PFC;Other Hall Canteens;CCD Mio Amore Area;Tech Market;Veggies,9AM-11AM;11AM-1PM;1PM-3PM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,2.2;Library;Main Building;Tech Market,12am-1am,PG,2nd,Other,GG
264,2021/03/08 12:06:57 pm GMT+5:30,3,3,5,3,Gymkhana;Library;Main Building;Tech Market;Other Hall of Residence,2,3,Your own Hall Canteen;PFC;Other Hall Canteens;CCD Mio Amore Area;Tech Market;Peep Kitchen;Veggies;Super Duper;Tikka;Smart Pind;Subway,3PM-5PM;9PM-11PM,Other Halls of Residence;Library;Main Building;Tech Market,1am-2am,UG,3rd,Azad Hall,EC
265,2021/03/08 12:07:01 pm GMT+5:30,6,3,2,6,Tech Market;Basketball/Tennis courts,1,5,Your own Hall Canteen;Tech Market;Food City,9AM-11AM;7PM-9PM,2.2;Tech Market;Basketball/Tennis Courts,11pm-12am,UG,4th,Vidyasagar Hall,CY
266,2021/03/08 12:07:02 pm GMT+5:30,2,3,3,1,Tech Market;Tata Sports Complex;2.2,0,2,Your own Hall Canteen;Other Hall Canteens,5PM-7PM,Other Halls of Residence;2.2;Tata Sports Complex,1am-2am,UG,3rd,RK Hall,AG
267,2021/03/08 12:07:05 pm GMT+5:30,3,2,4,2,Gymkhana;Tech Market;Other Hall of Residence;Nalanda;2.2;Outside Campus;A Department,1,2,Your own Hall Canteen;CCD Mio Amore Area;Billoos;Smart Pind;Subway,5PM-7PM;9PM-11PM,2.2;Library;Tech Market,12am-1am,UG,3rd,RK Hall,MA
268,2021/03/08 12:07:08 pm GMT+5:30,4,3,3,3,Gymkhana;Gymkhana Park;Tech Market;Basketball/Tennis courts;2.2;Outside Campus;Other,2,4,Your own Hall Canteen;PFC;Outside Campus;CCD Mio Amore Area;Veggies;Smart Pind,5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;Gymkhana Park;2.2;Tech Market;Outside Campus;Netaji Auditorium,12am-1am,UG,3rd,Azad Hall,MA
269,2021/03/08 12:07:09 pm GMT+5:30,2,2,1,1,Tech Market;Tata Sports Complex,1,1,Your own Hall Canteen;I generally eat in my hall mess,7PM-9PM,Tata Sports Complex,I usually stay in my room,UG,2nd,Nehru Hall,ME
271,2021/03/08 12:07:12 pm GMT+5:30,3,2,1,1,I don't go anywhere,1,2,Your own Hall Canteen;PFC;CCD Mio Amore Area;Tikka;Smart Pind;Subway;I generally eat in my hall mess,5PM-7PM,Other Halls of Residence;Tata Sports Complex;Tech Market,11pm-12am,UG,2nd,LBS Hall,EC
272,2021/03/08 12:07:16 pm GMT+5:30,2,3,3,3,Library;Main Building;Other Hall of Residence;2.2,2,1,I generally eat in my hall mess,5PM-7PM,Other Halls of Residence;Gymkhana Park;Tech Market,10pm-11pm,UG,2nd,LBS Hall,ME
273,2021/03/08 12:07:18 pm GMT+5:30,5,3,5,6,Main Building;Tech Market;Other Hall of Residence;Nalanda;2.2;Nehru Museum,4,10,PFC;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Heritage;Peep Kitchen;Food City;Smart Pind,9AM-11AM;11AM-1PM;1PM-3PM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Library;Main Building;Tata Sports Complex;Nalanda Complex;Vikramshila;Tech Market;Basketball/Tennis Courts;Outside Campus;Netaji Auditorium;A Department;Nehru Museum,11pm-12am,UG,2nd,Azad Hall,ME
274,2021/03/08 12:07:21 pm GMT+5:30,2,2,2,1,Tech Market;2.2,1,0,CCD Mio Amore Area;I generally eat in my hall mess,5PM-7PM,Tech Market,I usually stay in my room,UG,5th,Azad Hall,ME
275,2021/03/08 12:07:24 pm GMT+5:30,2,2,0,0,Library;Tech Market;Nalanda,1,3,Your own Hall Canteen;PFC;Tech Market;I generally eat in my hall mess,7PM-9PM,Library;Main Building;Tech Market,10pm-11pm,UG,2nd,LBS Hall,ME
276,2021/03/08 12:07:30 pm GMT+5:30,1,3,3,1,Gymkhana;Library;Tech Market;Other Hall of Residence;Tata Sports Complex;Vikramshila;Nalanda;2.2,1,3,Your own Hall Canteen;Other Hall Canteens;Veggies;Food City;I generally eat in my hall mess,5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Tata Sports Complex;Tech Market,11pm-12am,UG,2nd,RP Hall,ME
277,2021/03/08 12:07:45 pm GMT+5:30,1,2,2,1,Gymkhana;Tech Market;2.2,2,3,Your own Hall Canteen;CCD Mio Amore Area;Tech Market;Smart Pind;Subway;I generally eat in my hall mess,1PM-3PM;5PM-7PM;7PM-9PM,Other Halls of Residence;Gymkhana Park;2.2;Tech Market;Outside Campus,10pm-11pm,UG,5th,Azad Hall,MF
279,2021/03/08 12:08:01 pm GMT+5:30,1,4,4,4,Gymkhana;Library;Tech Market;Vikramshila;Nalanda;2.2;A Department,4,1,Your own Hall Canteen;Outside Campus;CCD Mio Amore Area;Tech Market;Dreamland;Subway;I generally eat in my hall mess,9AM-11AM;11AM-1PM;3PM-5PM;5PM-7PM;7PM-9PM,Gymkhana;2.2;Library;Main Building;Tech Market;A Department;Other,11pm-12am,UG,3rd,LBS Hall,CS
280,2021/03/08 12:08:06 pm GMT+5:30,3,2,3,3,Tech Market;Outside Campus,2,1,Outside Campus;Tech Market;I generally eat in my hall mess,5PM-7PM,Tech Market;Outside Campus,12am-1am,PG,2nd,MMM Hall,EE
281,2021/03/08 12:08:08 pm GMT+5:30,2,2,2,1,Library;Tech Market;A Department,1,1,Your own Hall Canteen;Heritage;Tech Market;I generally eat in my hall mess,7PM-9PM,Gymkhana Park;Library;Tech Market,11pm-12am,PG,2nd,MMM Hall,AG
282,2021/03/08 12:08:12 pm GMT+5:30,5,2,3,6,Tech Market;Other Hall of Residence;2.2;Outside Campus,4,7,Your own Hall Canteen;PFC;CCD Mio Amore Area;Tech Market;Food City,1PM-3PM;5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;2.2;Tech Market;Outside Campus,1am-2am,UG,4th,RP Hall,CE
283,2021/03/08 12:08:18 pm GMT+5:30,1,2,2,2,Library;Main Building;Tech Market,2,1,Your own Hall Canteen;I generally eat in my hall mess,5PM-7PM;7PM-9PM,Library;Tech Market;Other,10pm-11pm,UG,2nd,RP Hall,PH
284,2021/03/08 12:08:23 pm GMT+5:30,3,3,1,2,Tech Market;2.2,1,2,Your own Hall Canteen,5PM-7PM,Main Building;Nalanda Complex;Vikramshila,9pm-10pm,UG,2nd,Nehru Hall,ME
285,2021/03/08 12:08:28 pm GMT+5:30,1,1,2,1,Gymkhana Park;Tech Market;2.2,1,1,Tech Market;I generally eat in my hall mess,7PM-9PM,2.2;Tata Sports Complex;Tech Market,9pm-10pm,UG,2nd,LBS Hall,PH
286,2021/03/08 12:08:32 pm GMT+5:30,2,3,2,6,Tech Market;Other Hall of Residence;2.2;A Department,2,5,Tech Market;Peep Kitchen,5PM-7PM;7PM-9PM,Tata Sports Complex;Tech Market,11pm-12am,PG,1st,B R Ambedkar Hall,
287,2021/03/08 12:08:33 pm GMT+5:30,2,5,1,8,Main Building;2.2;A Department,2,7,Your own Hall Canteen;Heritage;Tech Market;Peep Kitchen;Veggies;Smart Pind,7PM-9PM,Tech Market;Outside Campus;A Department,9pm-10pm,PG,3rd,Vidyasagar Hall,ME
288,2021/03/08 12:08:46 pm GMT+5:30,1,3,1,1,Library;Tech Market;A Department,0,3,Your own Hall Canteen;CCD Mio Amore Area;Tech Market;Smart Pind;Subway,5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;Library;Tech Market,11pm-12am,UG,5th,LBS Hall,ME
289,2021/03/08 12:08:53 pm GMT+5:30,4,3,4,2,Library;Main Building;Tech Market;Tata Sports Complex;Vikramshila;Nalanda;2.2,2,3,Your own Hall Canteen;PFC;Other Hall Canteens;Tech Market;Food City;VSRC canteen,7PM-9PM;9PM-11PM,Other Halls of Residence;2.2;Library;Main Building;Tata Sports Complex;Tech Market;Outside Campus,11pm-12am,UG,3rd,LLR Hall,CH
290,2021/03/08 12:08:54 pm GMT+5:30,2,3,5,3,Gymkhana Park;Library;Tech Market;Other Hall of Residence;2.2;A Department,1,6,Your own Hall Canteen;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Tech Market;Peep Kitchen,11AM-1PM;1PM-3PM;3PM-5PM;5PM-7PM,Other Halls of Residence;2.2;Tech Market;Outside Campus,11pm-12am,PG,2nd,MMM Hall,EC
292,2021/03/08 12:08:56 pm GMT+5:30,0,1,5,8,Gymkhana;Gymkhana Park;Library;Main Building;Tech Market;2.2;Outside Campus;A Department,4,10,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Heritage;Tech Market;Peep Kitchen;Billoos;Smart Pind;I generally eat in my hall mess,9AM-11AM;11AM-1PM;1PM-3PM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;Main Building;Vikramshila;Tech Market;Other,9pm-10pm,PG,2nd,MMM Hall,ME
293,2021/03/08 12:08:57 pm GMT+5:30,4,3,2,5,Gymkhana;Gymkhana Park;Tech Market;Nalanda;2.2;Outside Campus,2,7,Your own Hall Canteen;Outside Campus;CCD Mio Amore Area;Tech Market;Veggies;Food City;Smart Pind;Subway,5PM-7PM;7PM-9PM;9PM-11PM,2.2,12am-1am,UG,2nd,LBS Hall,CH
294,2021/03/08 12:08:59 pm GMT+5:30,1,3,1,1,Library;Main Building;Tech Market;Vikramshila;Nalanda;2.2;A Department,2,4,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area;Food City,5PM-7PM,Gymkhana Park;2.2;Tech Market,11pm-12am,UG,2nd,LBS Hall,ME
295,2021/03/08 12:09:00 pm GMT+5:30,3,5,4,3,Gymkhana;Tech Market;Other Hall of Residence;Tata Sports Complex;2.2;Outside Campus;A Department,2,10,Your own Hall Canteen;PFC;Other Hall Canteens;CCD Mio Amore Area;Peep Kitchen,5PM-7PM;7PM-9PM;9PM-11PM,2.2;Tata Sports Complex;Tech Market;Outside Campus,1am-2am,UG,5th,JCB Hall,BT
296,2021/03/08 12:09:00 pm GMT+5:30,3,2,5,6,Main Building;Basketball/Tennis courts;2.2,2,6,Other Hall Canteens;CCD Mio Amore Area;Veggies;Smart Pind,3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Tech Market;Basketball/Tennis Courts,12am-1am,UG,2nd,SN-IG Hall,CS
297,2021/03/08 12:09:01 pm GMT+5:30,3,5,4,3,Library;Main Building;Tech Market;Basketball/Tennis courts;Vikramshila;Nalanda;2.2;A Department,3,7,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Tech Market;Veggies;Food City;VSRC canteen;Dreamland;Sahara;Billoos;Subway,5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;2.2;Library;Main Building;Tech Market;Basketball/Tennis Courts;Netaji Auditorium,1am-2am,UG,2nd,Patel Hall,CE
298,2021/03/08 12:09:04 pm GMT+5:30,8,5,5,8,Gymkhana;Gymkhana Park;Library;Main Building;Tech Market;Other Hall of Residence;Tata Sports Complex;Basketball/Tennis courts;Vikramshila;Nalanda;2.2;Outside Campus;A Department;Nehru Museum;Other,4,10,I generally eat in my hall mess,9AM-11AM;11AM-1PM;1PM-3PM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Library;Main Building;Tata Sports Complex;Nalanda Complex;Vikramshila;Tech Market;Basketball/Tennis Courts;Outside Campus;Netaji Auditorium;A Department;Nehru Museum;Other,2am-3am,UG,2nd,LBS Hall,EE
299,2021/03/08 12:09:09 pm GMT+5:30,4,2,3,3,Gymkhana;Gymkhana Park;Tech Market;Tata Sports Complex;2.2;Outside Campus,2,4,Outside Campus;CCD Mio Amore Area;Tech Market;Peep Kitchen;Veggies;Food City;Billoos;Smart Pind;Subway,5PM-7PM;7PM-9PM,Gymkhana Park;2.2;Tata Sports Complex;Tech Market;Outside Campus,1am-2am,PG,2nd,SAM Hall,BT
300,2021/03/08 12:09:12 pm GMT+5:30,0,2,5,3,Gymkhana;2.2;Other,1,3,Your own Hall Canteen;CCD Mio Amore Area;Food City;Other,7PM-9PM;9PM-11PM,Gymkhana;2.2;Main Building;Netaji Auditorium;Nehru Museum,11pm-12am,UG,3rd,RK Hall,ME
301,2021/03/08 12:09:16 pm GMT+5:30,1,2,5,8,Main Building;Tech Market;Tata Sports Complex;A Department,1,1,Outside Campus;Tech Market;Tikka,5PM-7PM;9PM-11PM,Tata Sports Complex;Tech Market,10pm-11pm,PG,3rd,B R Ambedkar Hall,PH
302,2021/03/08 12:09:22 pm GMT+5:30,0,2,5,1,Tech Market;Other Hall of Residence;A Department,1,5,Other Hall Canteens;CCD Mio Amore Area;Tech Market;Peep Kitchen;Food City;Dreamland;Sahara;I generally eat in my hall mess,Never,Other Halls of Residence,9pm-10pm,UG,5th,LBS Hall,EC
303,2021/03/08 12:09:27 pm GMT+5:30,1,1,1,1,Gymkhana;Tech Market,1,1,Your own Hall Canteen;I generally eat in my hall mess,5PM-7PM,Netaji Auditorium,10pm-11pm,UG,3rd,Nehru Hall,CH
304,2021/03/08 12:09:30 pm GMT+5:30,3,1,5,2,Library;Tech Market;Tata Sports Complex,2,3,Your own Hall Canteen;CCD Mio Amore Area;Tech Market;Veggies;Super Duper,11AM-1PM;5PM-7PM,Tata Sports Complex;Tech Market,9pm-10pm,PG,5th,B R Ambedkar Hall,AR
305,2021/03/08 12:09:32 pm GMT+5:30,1,3,5,2,Tech Market,1,2,Your own Hall Canteen;Tikka;Smart Pind,11AM-1PM,Main Building;Tech Market;Netaji Auditorium,11pm-12am,PG,3rd,B R Ambedkar Hall,HS
306,2021/03/08 12:09:33 pm GMT+5:30,3,3,2,3,I don't go anywhere,0,0,Your own Hall Canteen;Tech Market;I generally eat in my hall mess,7PM-9PM,I don't go anywhere,9pm-10pm,UG,2nd,LBS Hall,PH
307,2021/03/08 12:09:39 pm GMT+5:30,1,3,3,3,Library;Main Building;Vikramshila;Nalanda,2,5,Your own Hall Canteen;PFC;Outside Campus;CCD Mio Amore Area;Peep Kitchen,7PM-9PM,Other Halls of Residence;Gymkhana Park;2.2;Library;Main Building;Tech Market,1am-2am,UG,3rd,Azad Hall,EE
308,2021/03/08 12:09:40 pm GMT+5:30,2,3,5,3,Gymkhana;Library;Main Building;Tech Market,2,1,Your own Hall Canteen;CCD Mio Amore Area;Tech Market;I generally eat in my hall mess,5PM-7PM,Gymkhana;Tech Market,12am-1am,PG,1st,B R Ambedkar Hall,GG
309,2021/03/08 12:09:40 pm GMT+5:30,2,2,0,3,Library;A Department,1,6,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area;Peep Kitchen;I generally eat in my hall mess,9AM-11AM;11AM-1PM;3PM-5PM;5PM-7PM,2.2;Library;Tech Market;Outside Campus,11pm-12am,UG,5th,RP Hall,BT
310,2021/03/08 12:09:44 pm GMT+5:30,3,3,2,1,Library;Tech Market;Nalanda;A Department,2,4,Your own Hall Canteen;Tech Market;Subway;I generally eat in my hall mess,11AM-1PM;7PM-9PM,Other Halls of Residence;Tech Market;Outside Campus,11pm-12am,UG,5th,RP Hall,ME
311,2021/03/08 12:10:00 pm GMT+5:30,2,4,3,2,Gymkhana;Main Building;Tech Market;2.2;Nehru Museum,1,4,Your own Hall Canteen;PFC;CCD Mio Amore Area;Heritage;Tech Market;Veggies;Food City;Tikka;Smart Pind;Subway;I generally eat in my hall mess,11AM-1PM;9PM-11PM,Gymkhana;2.2;Main Building;Tech Market;Nehru Museum,11pm-12am,UG,4th,LBS Hall,CH
312,2021/03/08 12:10:02 pm GMT+5:30,1,4,1,8,Other Hall of Residence;Nalanda;A Department,1,1,Your own Hall Canteen,5PM-7PM,Other Halls of Residence;Tech Market,10pm-11pm,UG,2nd,Azad Hall,AG
314,2021/03/08 12:10:06 pm GMT+5:30,3,3,5,4,Gymkhana;Tech Market;Basketball/Tennis courts;Nalanda;2.2;Other,4,5,Your own Hall Canteen;CCD Mio Amore Area;Peep Kitchen;Veggies;VSRC canteen;Smart Pind,5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;Gymkhana Park;2.2;Nalanda Complex;Tech Market;Basketball/Tennis Courts;Other,2am-3am,UG,2nd,SN-IG Hall,MA
315,2021/03/08 12:10:06 pm GMT+5:30,1,1,3,3,Library;Main Building;Tech Market;Basketball/Tennis courts;Vikramshila;Nalanda;A Department,1,0,Your own Hall Canteen;Tech Market;Smart Pind,5PM-7PM,Gymkhana Park;Tata Sports Complex;Basketball/Tennis Courts,10pm-11pm,UG,3rd,RP Hall,CE
316,2021/03/08 12:10:15 pm GMT+5:30,8,5,5,4,Gymkhana;Gymkhana Park;Library;Main Building;Tech Market;Tata Sports Complex;Nalanda;2.2;Outside Campus,4,5,Your own Hall Canteen;Other Hall Canteens;Outside Campus;Tech Market;Veggies;Food City;I generally eat in my hall mess,1PM-3PM;3PM-5PM;9PM-11PM,Gymkhana;Gymkhana Park;2.2;Library;Main Building;Tata Sports Complex;Nalanda Complex;Tech Market;Outside Campus;Netaji Auditorium,2am-3am,UG,2nd,RP Hall,HS
317,2021/03/08 12:10:19 pm GMT+5:30,8,0,3,5,Library;Main Building;Tech Market;2.2;Outside Campus;Other,2,5,Your own Hall Canteen;Other Hall Canteens;Outside Campus;Tech Market;Veggies;VSRC canteen;Tikka;Other;I generally eat in my hall mess,9AM-11AM;11AM-1PM;1PM-3PM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;2.2;Library;Main Building;Tech Market;Outside Campus,I usually stay in my room,UG,2nd,LBS Hall,ME
318,2021/03/08 12:10:19 pm GMT+5:30,3,3,4,3,Main Building;Tech Market;Vikramshila;2.2;Other,1,5,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Heritage;Veggies,5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;2.2;Tech Market,12am-1am,UG,2nd,LBS Hall,CH
319,2021/03/08 12:10:25 pm GMT+5:30,2,4,5,3,Gymkhana;Gymkhana Park;2.2,2,4,Your own Hall Canteen;CCD Mio Amore Area;Food City;Smart Pind;I generally eat in my hall mess,3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;Gymkhana Park;2.2;Library;Main Building;Tech Market,12am-1am,UG,3rd,RP Hall,ME
320,2021/03/08 12:10:30 pm GMT+5:30,3,5,3,8,Gymkhana;Library;Main Building;Tech Market;2.2;A Department,2,10,Your own Hall Canteen;CCD Mio Amore Area;Tech Market;Veggies;Smart Pind;I generally eat in my hall mess,5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;2.2;Library;Main Building;Tech Market;A Department,1am-2am,UG,4th,Vidyasagar Hall,MF
321,2021/03/08 12:10:36 pm GMT+5:30,2,3,1,2,Main Building;Tech Market;Tata Sports Complex;2.2;A Department,2,2,PFC;CCD Mio Amore Area;Tech Market;I generally eat in my hall mess,9AM-11AM;3PM-5PM;5PM-7PM,Tata Sports Complex;Tech Market;Basketball/Tennis Courts;A Department,9pm-10pm,PG,2nd,B R Ambedkar Hall,MI
322,2021/03/08 12:10:42 pm GMT+5:30,3,2,3,1,Library;Main Building;Tech Market;Other Hall of Residence;Nalanda;Outside Campus,2,6,Your own Hall Canteen;Other Hall Canteens;Outside Campus;Tech Market;Tikka,11AM-1PM;3PM-5PM;9PM-11PM,Other Halls of Residence;Tech Market,12am-1am,UG,3rd,MS Hall,ME
323,2021/03/08 12:10:46 pm GMT+5:30,3,5,5,4,Gymkhana Park;Main Building;Tech Market;Other Hall of Residence;Tata Sports Complex;2.2;Outside Campus,4,3,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;Veggies,1PM-3PM;3PM-5PM;9PM-11PM,Other Halls of Residence;Gymkhana Park;2.2;Tata Sports Complex;Tech Market;Outside Campus,11pm-12am,UG,3rd,Nehru Hall,CH
324,2021/03/08 12:10:53 pm GMT+5:30,2,3,5,3,Other Hall of Residence;2.2;Other,0,2,Your own Hall Canteen;Other Hall Canteens;I generally eat in my hall mess,9PM-11PM,Other Halls of Residence;2.2;Other,2am-3am,PG,5th,RP Hall,ME
325,2021/03/08 12:10:56 pm GMT+5:30,2,3,3,1,Tech Market;2.2;Nehru Museum,2,1,Your own Hall Canteen;CCD Mio Amore Area;Heritage;Billoos;I generally eat in my hall mess,11AM-1PM;5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana Park;2.2;Nalanda Complex;Tech Market;Nehru Museum;Other,10pm-11pm,UG,2nd,RP Hall,CS
326,2021/03/08 12:11:03 pm GMT+5:30,0,2,2,0,Library;Tech Market;Other Hall of Residence,1,1,Your own Hall Canteen;Other Hall Canteens,9PM-11PM,Other Halls of Residence;2.2;Library,9pm-10pm,UG,2nd,LBS Hall,GG
327,2021/03/08 12:11:10 pm GMT+5:30,0,0,0,0,I don't go anywhere,1,1,I generally eat in my hall mess,Never,Library,9pm-10pm,PG,2nd,MMM Hall,EC
328,2021/03/08 12:11:14 pm GMT+5:30,3,4,3,5,Library;Tech Market;2.2,2,7,Other Hall Canteens;Tech Market;Tikka;Billoos,5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Nalanda Complex;Tech Market;Netaji Auditorium;Nehru Museum,12am-1am,UG,3rd,LBS Hall,PH
329,2021/03/08 12:11:16 pm GMT+5:30,2,4,3,1,Gymkhana;Library;Main Building;A Department,1,3,I generally eat in my hall mess,5PM-7PM,I don't go anywhere,I usually stay in my room,PG,1st,B R Ambedkar Hall,GG
331,2021/03/08 12:11:36 pm GMT+5:30,2,4,5,3,Gymkhana;Gymkhana Park;Tech Market;Other Hall of Residence;Tata Sports Complex;Nalanda;2.2;A Department,2,5,Your own Hall Canteen;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Tech Market;Peep Kitchen;Veggies;Tikka;Smart Pind,3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,2.2;Tech Market,12am-1am,UG,3rd,MMM Hall,MF
332,2021/03/08 12:11:43 pm GMT+5:30,4,2,4,4,Gymkhana;Library;Main Building;Basketball/Tennis courts,2,5,CCD Mio Amore Area;Smart Pind;Subway,7PM-9PM;9PM-11PM,Gymkhana;Gymkhana Park;Library;Main Building;Basketball/Tennis Courts,1am-2am,UG,2nd,LBS Hall,EE
